CONTIG_NAME HSP_GENOME PERCENT_IDENTITY PERCENT_COVERED_BY_HSP NORMALISED_CONTIG_SCORE
k141_29411_length_339630_cov_36.9957 CP044331.1 100.000 100.0 1.0 
k141_7833_length_293158_cov_36.9961 CP044331.1 100.000 100.0 1.0 
k141_17326_length_285066_cov_10.9983 CP028435.1 99.994 100.0 0.9999399999999999 
k141_43352_length_270976_cov_37.1334 CP044331.1 99.992 92.76430384978744 0.9275688270547946 
k141_11439_length_266447_cov_36.9949 CP044331.1 100.000 100.0 1.0 
k141_50139_length_254196_cov_11.0000 CP028435.1 99.994 62.888479755779 0.6288470644699365 
k141_64227_length_216127_cov_36.9776 CP044331.1 100.000 100.0 1.0 
k141_20253_length_207146_cov_37.9921 CP044331.1 100.000 100.0 1.0 
k141_12975_length_206295_cov_35.9981 CP044331.1 100.000 100.0 1.0 
k141_12470_length_203533_cov_36.9961 CP044331.1 99.997 100.0 0.99997 
k141_35266_length_191317_cov_9.9950 CP028435.1 99.992 100.0 0.99992 
k141_60522_length_188458_cov_36.9939 CP044331.1 100.000 100.0 1.0 
k141_28163_length_173062_cov_25.9863 CP040555.1 99.999 100.0 0.9999899999999999 
k141_18835_length_163688_cov_24.9981 CP040555.1 100.000 100.0 1.0 
k141_56761_length_163232_cov_36.9951 CP044331.1 99.999 100.0 0.9999899999999999 
k141_3782_length_160500_cov_24.9954 CP040555.1 100.000 100.0 1.0 
k141_57805_length_154808_cov_36.9898 CP044331.1 99.999 100.0 0.9999899999999999 
k141_63119_length_144946_cov_11.0000 CP028435.1 99.988 100.0 0.9998799999999999 
k141_5233_length_142881_cov_9.9986 CP059439.1 99.985 99.99860023376095 0.9998360044372588 
k141_7368_length_142137_cov_10.9984 CP028435.1 99.984 99.99788936026509 0.9998188969796744 
k141_24371_length_140654_cov_36.9902 CP044331.1 100.000 100.0 1.0 
k141_24635_length_138901_cov_25.9962 CP040555.1 100.000 100.0 1.0 
k141_25796_length_136135_cov_24.9704 CP040555.1 99.999 100.0 0.9999899999999999 
k141_33878_length_134221_cov_10.9984 CP028435.1 99.991 100.0 0.9999100000000001 
k141_19825_length_130728_cov_10.0000 CP028435.1 99.983 99.94874854660057 0.9993175725934765 
k141_46597_length_129943_cov_36.9923 CP044331.1 100.000 100.0 1.0 
k141_63208_length_126918_cov_36.9938 CP044332.1 100.000 100.0 1.0 
k141_43123_length_126580_cov_25.9957 CP040555.1 100.000 100.0 1.0 
k141_33765_length_126020_cov_10.0000 CP028435.1 99.989 100.0 0.99989 
k141_35218_length_125340_cov_11.0000 CP028435.1 99.993 100.0 0.9999299999999999 
